RecID,First Name,Surname,Gender,Age,Date of birth,Years of experience,Education Level,Country,Performance,Assembly,Machining,Welding,Additive,Painting,Control,Quality,Planning,Services,Shipping,spoken languages
1899510YZY,Floyd,Matthews,male,23,25/04/1998,0,master,Australia,D,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,"EN,SP,NL,"
2605366XRZ,Gladys,Rutherford,female,18,26/01/2003,0,bachelor,Romania,11,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,"F,NL,GE,IT,"
8247639FTK,Sarah,Anderson,female,46,22/08/1975,12,doctorate,Sweden,C,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,"NL,GE,"
6612106OBP,Stephanie,Galvan,female,40,04/09/1981,8,bachelor,Finland,D,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,"EN,F,GE,"
4552350AIX,Charles,Darr,male,61,15/03/1960,34,doctorate,Spain,5,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,"F,SP,"
4119184PBM,Peter,Sreaves,male,52,19/08/1969,24,bachelor,Malta,E,NO,YES,NO,NO,YES,NO,YES,YES,YES,NO,"EN,SP,NL,GE,"
5732474SOS,Elizabeth,Willis,f,37,03/12/1984,11,bachelor,Netherlands,20,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,"SP,NL,GE,"
2522566AIU,Willie,Caples,male,48,23/07/1973,3,upper secondary,Portugal,E,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,"EN,GE,IT,"
9376067FLJ,Matthew,Abernethy,male,63,26/05/1958,2,technical,Spain,76,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,"F,GE,"
6767240QXD,Leticia,Meyer,female,64,11/09/1957,22,master,Bulgaria,33,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,"EN,SP,IT,"
4722134PBC,Chet,Jones,male,48,29/04/1973,1,doctorate,Lithuania,C,YES,NO,NO,YES,YES,YES,NO,YES,NO,YES,"SP,NL,IT,"
6500589HRP,Steven,Tucker,male,31,01/10/1990,5,bachelor,Germany,25,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,"EN,F,SP,NL,GE,"
1376812JMF,Leta,Cooper,female,29,26/07/1992,3,doctorate,Portugal,A,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,"F,GE,"
4103288OMT,Pamela,Figgs,female,28,16/04/1993,2,upper secondary,Republic of Congo,D,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,"F,GE,"
0437898HNP,Juanita,Maness,female,39,20/05/1982,10,technical,China,E,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,"GE,IT,"
3940652FLH,Ramonita,Wright,female,60,25/02/1961,6,upper secondary,Republic of Cyprus,E,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,"F,SP,NL,IT,"
2826659GHP,Elizabeth,Taylor,female,35,15/04/1986,9,technical,Poland,87,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,"SP,NL,GE,"
6809532DFH,Milly,Whitfield,female,67,15/07/1954,27,master,Poland,89,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,"EN,F,SP,"
6293517SZE,Daniel,Reid,male,44,02/09/1977,18,doctorate,Ireland,14,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,"EN,NL,IT,"
2429730AWT,Chelsea,Lewis,female,54,17/12/1966,28,doctorate,Republic of Congo,E,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,"EN,F,GE,"
1318820RVC,Thomas,Shoultz,male,63,05/06/1958,9,bachelor,Austria,B,YES,NO,YES,NO,YES,NO,NO,YES,YES,YES,"SP,NL,IT,"
8257263BVE,Laverne,Cooper,female,53,25/07/1968,15,master,Sweden,33,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,"F,SP,NL,IT,"
2477790OJR,Gavin,Grantham,male,48,04/10/1973,6,doctorate,Brazil,C,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,"F,SP,NL,GE,IT,"
3385447LEX,Robert,Chapman,male,50,16/09/1971,9,master,Romania,21,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,"NL,IT,"
0835746DXQ,Duane,Hester,male,56,16/05/1965,30,bachelor,Lithuania,58,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,"F,"
6398335SBX,Amber,Donovan,female,29,19/03/1992,3,master,Romania,70,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,"F,SP,NL,GE,IT,"
0079380VFG,Lynnette,Wesley,female,67,06/12/1954,34,upper secondary,Spain,31,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,"EN,NL,IT,"
8432685JXP,George,Luttrell,male,43,05/11/1978,8,doctorate,Australia,E,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,"EN,GE,"
1822561SNK,Marsha,Esposito,female,52,10/07/1969,26,technical,Germany,89,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,"EN,F,SP,"
7267467RJK,Eddie,Torres,male,62,07/04/1959,21,doctorate,Portugal,78,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,"F,SP,IT,"
4614736OJH,Nancy,Miller,female,50,24/10/1971,24,bachelor,Czech Republic,E,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,"EN,IT,"
3527897AHT,Dennis,Guin,male,48,23/03/1973,11,bachelor,Malta,16,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,"F,NL,"
1878357ULP,Kathryn,Callahan,female,40,15/11/1981,14,technical,Lithuania,D,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,"EN,GE,"
1673884WNE,Delbert,Moore,male,59,13/11/1962,21,doctorate,Poland,B,NO,YES,NO,NO,YES,NO,YES,NO,YES,YES,"F,GE,"
8209931YYR,Louis,Townsend,male,40,28/12/1980,14,technical,United Kingdom,D,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,"F,NL,"
0648149GSK,Lakeesha,Garneau,female,50,28/10/1971,10,bachelor,Spain,E,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,"EN,F,SP,NL,IT,"
5320520ZVS,Amy,Jock,female,42,29/04/1979,3,technical,Czech Republic,A,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,"SP,NL,IT,"
1057245QQE,Bobbie,Daniels,female,26,11/07/1995,0,master,Austria,E,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,"EN,SP,NL,IT,"
7882388BVW,Carrie,Hall,female,27,20/12/1993,1,bachelor,Malta,D,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,"EN,F,GE,IT,"
3553468DTU,Pamela,Kissel,female,53,28/07/1968,26,master,Brazil,A,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,"F,"
8363616GTN,Earle,Dillon,m,63,11/04/1958,3,master,Slovenia,C,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,"EN,F,GE,IT,"
0290372DJC,Mozell,Blackburn,female,52,03/03/1969,5,bachelor,Croatia,E,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,"EN,SP,NL,GE,"
6946893UDP,Michael,Grande,male,64,16/09/1957,30,technical,Bulgaria,C,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO,"F,SP,"
5360979EUQ,Jaime,Herring,male,18,01/02/2003,0,technical,Denmark,A,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,"EN,SP,NL,IT,"
7192204ZQF,Clayton,Crane,male,50,04/12/1971,3,upper secondary,Malta,B,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,"EN,F,SP,IT,"
6351626CLK,Richard,Hill,male,64,08/02/1957,9,upper secondary,Malta,A,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,"EN,F,SP,NL,IT,"
6913890LYS,Nina,Manning,female,43,07/06/1978,6,doctorate,Slovakia,B,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,"EN,F,SP,IT,"
6148979GSU,Reva,Horstman,female,42,01/07/1979,2,upper secondary,Sweden,13,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,"F,NL,GE,IT,"
3271402MBO,Betty,Miller,female,19,28/02/2002,0,bachelor,Lithuania,30,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,"EN,F,GE,IT,"
7716879WGK,Sterling,Fahey,male,34,27/05/1987,8,doctorate,USA,D,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,"SP,GE,IT,"
5643315MLI,Andrea,Hargrove,female,47,29/03/1974,21,doctorate,Czech Republic,B,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,"EN,SP,"
6306805GTY,Amy,Lopez,female,58,30/10/1963,8,bachelor,USA,C,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,"F,SP,"
5455196NAW,Mary,Hargraves,female,45,14/05/1976,11,master,Czech Republic,B,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,"F,"
5386532NXE,Alfredo,Wools,male,40,14/06/1981,11,bachelor,France,A,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,"F,SP,"
0395375ZOO,William,Payne,male,23,08/11/1998,0,doctorate,Sweden,54,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,"F,SP,NL,"
4673877NRN,Clara,Bunch,female,35,05/04/1986,9,upper secondary,Estonia,79,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,"SP,NL,GE,IT,"
0099225LYA,Steve,Quarles,male,51,12/07/1970,2,doctorate,Malta,E,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,"SP,GE,IT,"
0136517HXL,Matthew,Flowers,male,29,01/03/1992,3,doctorate,Slovenia,3,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,"EN,SP,NL,IT,"
1192107VQL,Angelia,Couzens,female,31,18/01/1990,5,master,Croatia,C,NO,YES,YES,NO,YES,NO,NO,NO,YES,YES,"EN,NL,"
3428973EFH,Chris,Scott,male,46,03/01/1975,11,technical,Greece,36,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,"NL,IT,"
1473267JRC,Dawn,Demarino,female,59,13/07/1962,13,doctorate,Slovenia,C,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,"NL,"
7684541HUZ,Sarah,Rigby,female,56,25/03/1965,7,technical,Greece,C,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,"EN,SP,GE,IT,"
3060724AGC,Daniel,Bond,male,40,12/03/1981,14,bachelor,Republic of Congo,3,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,"F,GE,"
2361866FPY,Kenneth,Mailman,male,32,23/08/1989,6,upper secondary,Bulgaria,B,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,"EN,F,SP,NL,IT,"
4619835GNN,Kevin,Williams,male,40,25/02/1981,9,master,Luxembourg,26,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,"GE,IT,"
4746406JJY,Barbara,Hooten,female,65,14/06/1956,11,master,Slovakia,32,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,"NL,GE,IT,"
4166977EUO,Gordon,Gonzales,male,41,20/09/1980,15,upper secondary,Sweden,23,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,"SP,"
8799659MXY,Timothy,Sexton,male,53,18/11/1968,4,bachelor,Italy,D,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES,"EN,"
6659713QHD,Donald,Womack,m,51,14/10/1970,21,master,Republic of Congo,98,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,"SP,"
6779492MFB,Nicole,Aponte,female,36,01/05/1985,10,bachelor,Spain,D,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,"EN,F,SP,NL,GE,"
0685615UDF,Rayford,Shirley,male,54,19/01/1967,19,master,Brazil,A,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,"EN,SP,"
9547160BFB,Fabiola,Tardiff,female,33,15/11/1988,7,doctorate,Spain,B,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,"F,SP,NL,GE,IT,"
5739411MOZ,Lee,Merriweather,male,66,25/11/1955,29,master,China,B,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,"F,IT,"
1224319KQH,Denise,Criddle,female,44,12/12/1976,18,technical,Poland,54,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,"EN,SP,NL,GE,"
9262025LKC,Benjamin,Tierney,male,54,10/04/1967,12,technical,Portugal,34,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,"IT,"
5108052HMJ,Robert,Rincon,male,48,11/10/1973,21,master,Hungary,C,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,"F,SP,IT,"
8493446VUJ,Jerome,Logan,male,31,10/01/1990,5,doctorate,Brazil,87,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,"EN,F,"
6636860MQF,Travis,Schlottmann,male,21,22/06/2000,0,technical,Greece,C,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,"EN,NL,GE,"
2925549QSH,Dorothy,Atwood,female,51,27/09/1970,25,doctorate,Malta,E,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,"EN,F,SP,NL,GE,"
9964984CDZ,Mildred,Gazzo,female,40,24/05/1981,2,doctorate,Romania,95,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,"SP,NL,GE,IT,"
0241934DSU,John,Anderson,male,61,16/06/1960,12,master,Latvia,B,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,"EN,SP,GE,IT,"
9215754KDE,Eugene,Mondier,male,38,25/03/1983,4,bachelor,Greece,80,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,"EN,F,SP,"
5590405PAD,Michael,Strayhorn,male,31,23/10/1990,5,master,China,B,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,"EN,SP,"
0210682QCI,Martha,Johnson,female,26,10/09/1995,0,technical,Germany,C,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,"F,"
1421188ZRA,John,Eicher,male,26,09/06/1995,0,doctorate,Republic of Cyprus,71,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,"EN,GE,"
8950037HDB,Joseph,Calvello,male,46,09/03/1975,20,doctorate,Germany,C,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,"EN,F,"
8586295TSB,Lillian,Avila,female,35,29/06/1986,9,upper secondary,Finland,21,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,"EN,F,IT,"
3737197AEI,Edward,Proctor,male,33,26/10/1988,7,upper secondary,Brazil,97,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,"NL,"
0689859DAF,Armando,Rizzo,male,33,18/06/1988,7,bachelor,Germany,77,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,"SP,GE,IT,"
6149823FTT,Brett,Bass,m,25,28/04/1996,0,technical,Republic of South Africa,3,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,"GE,IT,"
7303898MXG,Martha,Romney,f,63,02/05/1958,31,master,Greece,82,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,"EN,F,IT,"
1573731QIO,Osvaldo,Nieves,male,19,01/01/2002,0,upper secondary,Estonia,A,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,"EN,SP,NL,IT,"
9705084RDJ,Willy,Starnes,male,31,29/06/1990,5,upper secondary,Republic of South Africa,98,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,"EN,GE,"
5588724ADF,Aubrey,Jones,male,44,27/06/1977,0,upper secondary,Finland,57,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,"F,SP,NL,"
5428067GEN,Susanne,Deyoung,female,67,05/05/1954,31,upper secondary,Lithuania,C,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,"EN,SP,GE,IT,"
1018414UUH,Roy,Lundy,male,49,20/10/1972,19,upper secondary,Italy,B,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,"F,NL,"
9131438EQT,James,Tennant,male,25,15/04/1996,0,master,Luxembourg,B,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,"SP,NL,IT,"
7574258ICM,Roberta,Bryant,female,30,24/02/1991,4,doctorate,Republic of Cyprus,39,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,"SP,"
2444272NKK,Harry,Debois,m,22,23/06/1999,0,upper secondary,China,61,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,"F,NL,GE,IT,"
9480246DVG,Emily,Castillo,female,41,23/05/1980,15,upper secondary,Portugal,56,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,"F,SP,NL,IT,"
9614187XDX,Howard,Bryant,male,35,30/07/1986,9,master,Netherlands,D,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,"F,SP,NL,"
3462902UBX,Roger,Stanley,male,40,06/06/1981,14,technical,Belgium,B,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,"SP,"
5013602MJU,Brian,Tester,male,60,11/12/1960,33,upper secondary,Germany,54,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,"SP,NL,"
5745357DOL,Trevor,Lipsey,male,26,19/07/1995,0,master,Slovenia,A,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,"EN,SP,NL,GE,"
3256499WSN,Nicole,Barrios,female,29,30/10/1992,3,technical,Slovakia,57,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,"EN,SP,NL,"
5738729SRH,Willie,Havens,male,27,01/04/1994,1,doctorate,Croatia,3,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,"NL,GE,"
3550458KIR,Brent,Flores,male,55,21/06/1966,13,doctorate,Ireland,C,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,"SP,GE,"
2124797RIS,Benton,Gonzales,male,53,11/05/1968,21,doctorate,Bulgaria,C,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,"EN,F,IT,"
8274922PFU,Felix,Anderson,male,59,03/07/1962,1,bachelor,China,B,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,"F,SP,GE,IT,"
5696290NPV,Richard,Bakken,male,51,20/11/1970,0,upper secondary,Lithuania,0,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,"F,SP,NL,IT,"
1034829CSP,Adell,Mercier,female,49,25/06/1972,5,bachelor,Sweden,63,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,"F,SP,GE,"
0259855KBO,Anthony,Rivera,male,46,27/01/1975,2,bachelor,USA,25,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,"EN,F,"
