RecID,First Name,Surname,Gender,Age,Date of birth,Years of experience,Education level,Country,Grade,Performance,Assembly,Machining,Welding,Additive,Painting,Control,Quality,Planning,Services,Shipping,Spoken languages,Intended department
3092148WBT,Daniel,Thulin,male,47,1973-12-31,5,bachelor,USA,D,22,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"EN,NL,",
7329501YOV,Maria,Parkin,female,61,1960-07-06,10,upper secondary,EU,A,92,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,"F,GE,IT,",
0352393MUM,William,Tripp,male,40,1980-12-14,2,master,EU,C,53,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,"EN,F,SP,IT,",
3380089FKX,Bonnie,Smith,female,38,1983-06-20,12,upper secondary,EU,C,54,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,"NL,GE,",
0729803SDO,Paula,Young,female,40,1981-11-01,14,technical,EU,C,45,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,"EN,GE,",
1976393BCE,Thomas,Albert,male,36,1985-08-13,5,technical,EU,C,45,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,"EN,NL,GE,IT,",
8777119VXN,Agnes,Tremblay,female,55,1966-07-13,29,bachelor,EU,C,42,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,"EN,F,SP,NL,GE,",finance
6223858YVE,Rodrigo,Montejo,male,24,1997-06-30,0,doctorate,EU,C,54,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,"EN,F,SP,IT,",
5690522QPV,Karen,Amend,female,47,1974-06-14,21,doctorate,China,C,55,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,"NL,",
5317886LRQ,Euna,Robinson,female,57,1964-02-14,0,doctorate,Czech Republic,A,90,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,"EN,F,SP,NL,",
9051176OYI,Estelle,Brereton,female,62,1959-08-04,16,bachelor,EU,A,90,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,"F,NL,GE,",
2521215SUD,Victor,Simpson,male,25,1996-02-24,0,master,Republic of South Africa,B,64,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,"EN,F,SP,IT,",
9737486MDF,Anthony,Roussel,male,48,1973-06-18,17,bachelor,Czech Republic,B,64,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,"SP,NL,GE,",
5507584DWB,Martina,Lefebvre,female,54,1967-08-10,28,upper secondary,EU,B,70,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,"NL,GE,IT,",
8908472DXX,Arnold,Hoggard,male,54,1967-02-16,28,technical,EU,E,16,NO,YES,NO,YES,NO,NO,YES,NO,YES,YES,"SP,",
6314336CQE,Jennifer,Carroll,female,22,1999-01-13,0,bachelor,EU,E,10,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,"EN,SP,NL,",
0716502WAI,Emma,Ewing,female,23,1998-05-05,0,technical,EU,A,90,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,"EN,F,SP,GE,IT,",
8397881FKB,Arthur,Lantieri,male,30,1991-12-08,4,master,Czech Republic,D,23,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,"NL,IT,",
8813345BBV,Cheryl,Moore,female,21,2000-12-07,0,master,EU,E,10,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,"EN,F,NL,GE,",
7702988AEC,Cheryle,Higa,female,31,1990-03-14,5,master,EU,C,50,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,"F,GE,",
8335661BUO,Marie,Gregg,female,56,1965-09-26,20,upper secondary,EU,E,17,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,"EN,F,SP,NL,",
4002177BXQ,Tim,Bridges,male,63,1957-12-22,29,technical,EU,B,77,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,"EN,F,GE,",
8173495UNH,Mildred,Twiggs,female,67,1954-12-03,15,doctorate,Republic of Cyprus,A,91,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,"F,SP,",
3311844DBD,Kathy,Barden,female,64,1957-09-17,2,master,EU,D,30,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,"EN,NL,GE,IT,",
9821266EBZ,Christina,Marrero,female,36,1985-11-27,10,technical,Czech Republic,A,90,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,"F,SP,NL,IT,",
7488463GKL,Jose,Hardaway,male,59,1962-06-02,2,upper secondary,Republic of South Africa,D,30,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,"SP,NL,GE,IT,",
5676953DGF,Loren,Walker,male,37,1984-07-02,11,doctorate,EU,E,10,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,"F,SP,IT,",
6897841CCA,Elbert,Nunez,male,31,1990-09-17,5,upper secondary,EU,A,90,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,"EN,SP,GE,IT,",
1401237SIT,Brenda,Fairhurst,female,38,1982-12-30,5,doctorate,EU,A,90,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,"NL,GE,IT,",
1443606UEA,Maria,Shook,female,29,1992-11-01,3,upper secondary,EU,B,70,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,"EN,SP,NL,GE,IT,",
1899510YZY,Floyd,Matthews,male,23,1998-04-25,0,master,Australia,D,30,YES,NO,YES,NO,YES,YES,NO,NO,YES,NO,"EN,SP,NL,",
2605366XRZ,Gladys,Rutherford,female,18,2003-01-26,0,bachelor,EU,E,11,YES,NO,YES,YES,NO,YES,YES,YES,YES,NO,"F,NL,GE,IT,",
8247639FTK,Sarah,Anderson,female,46,1975-08-22,12,doctorate,EU,C,50,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,"NL,GE,",
6612106OBP,Stephanie,Galvan,female,40,1981-04-09,8,bachelor,EU,D,30,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,"EN,F,GE,",
4552350AIX,Charles,Darr,male,61,1960-03-15,34,doctorate,EU,E,5,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,"F,SP,",
4119184PBM,Peter,Sreaves,male,52,1969-08-19,24,bachelor,EU,E,10,NO,YES,NO,NO,YES,NO,YES,YES,YES,NO,"EN,SP,NL,GE,",
5732474SOS,Elizabeth,Willis,female,37,1984-03-12,11,bachelor,EU,E,20,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,"SP,NL,GE,",
2522566AIU,Willie,Caples,male,48,1973-07-23,3,upper secondary,EU,E,10,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,"EN,GE,IT,",
9376067FLJ,Matthew,Abernethy,male,63,1958-05-26,2,technical,EU,B,76,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,"F,GE,",
6767240QXD,Leticia,Meyer,female,64,1957-11-09,22,master,EU,D,33,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,"EN,SP,IT,",
4722134PBC,Chet,Jones,male,48,1973-04-29,1,doctorate,EU,C,50,YES,NO,NO,YES,YES,YES,NO,YES,NO,YES,"SP,NL,IT,",
6500589HRP,Steven,Tucker,male,31,1990-01-10,5,bachelor,EU,D,25,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,"EN,F,SP,NL,GE,",
1376812JMF,Leta,Cooper,female,29,1992-07-26,3,doctorate,EU,A,90,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,"F,GE,",
4103288OMT,Pamela,Figgs,female,28,1993-04-16,2,upper secondary,Republic of Congo,D,30,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,"F,GE,",
0437898HNP,Juanita,Maness,female,39,1982-05-20,10,technical,China,E,10,YES,YES,NO,YES,YES,NO,NO,YES,YES,YES,"GE,IT,",
3940652FLH,Ramonita,Wright,female,60,1961-02-25,6,upper secondary,Republic of Cyprus,E,10,YES,YES,NO,YES,YES,NO,NO,YES,YES,NO,"F,SP,NL,IT,",
2826659GHP,Elizabeth,Taylor,female,35,1986-04-15,9,technical,EU,A,87,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,"SP,NL,GE,",
6809532DFH,Milly,Whitfield,female,67,1954-07-15,27,master,EU,A,89,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,"EN,F,SP,",finance
6293517SZE,Daniel,Reid,male,44,1977-02-09,18,doctorate,EU,E,14,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,"EN,NL,IT,",
2429730AWT,Chelsea,Lewis,female,54,1966-12-17,28,doctorate,Republic of Congo,E,10,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,"EN,F,GE,",
1318820RVC,Thomas,Shoultz,male,63,1958-05-06,9,bachelor,EU,B,70,YES,NO,YES,NO,YES,NO,NO,YES,YES,YES,"SP,NL,IT,",
8257263BVE,Laverne,Cooper,female,53,1968-07-25,15,master,EU,D,33,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,"F,SP,NL,IT,",
2477790OJR,Gavin,Grantham,male,48,1973-04-10,6,doctorate,Brazil,C,50,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,"F,SP,NL,GE,IT,",
3385447LEX,Robert,Chapman,male,50,1971-09-16,9,master,EU,D,21,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,"NL,IT,",
0835746DXQ,Duane,Hester,male,56,1965-05-16,30,bachelor,EU,C,58,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,"F,",
6398335SBX,Amber,Donovan,female,29,1992-03-19,3,master,EU,B,70,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,"F,SP,NL,GE,IT,",
0079380VFG,Lynnette,Wesley,female,67,1954-06-12,34,upper secondary,EU,D,31,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,"EN,NL,IT,",
8432685JXP,George,Luttrell,male,43,1978-05-11,8,doctorate,Australia,E,10,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,"EN,GE,",
1822561SNK,Marsha,Esposito,female,52,1969-10-07,26,technical,EU,A,89,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,"EN,F,SP,",
7267467RJK,Eddie,Torres,male,62,1959-07-04,21,doctorate,EU,B,78,NO,YES,YES,YES,YES,NO,NO,YES,NO,NO,"F,SP,IT,",
4614736OJH,Nancy,Miller,female,50,1971-10-24,24,bachelor,Czech Republic,E,10,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,"EN,IT,",
3527897AHT,Dennis,Guin,male,48,1973-03-23,11,bachelor,EU,E,16,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,"F,NL,",
1878357ULP,Kathryn,Callahan,female,40,1981-11-15,14,technical,EU,D,30,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,"EN,GE,",
1673884WNE,Delbert,Moore,male,59,1962-11-13,21,doctorate,EU,B,70,NO,YES,NO,NO,YES,NO,YES,NO,YES,YES,"F,GE,",
8209931YYR,Louis,Townsend,male,40,1980-12-28,14,technical,United Kingdom,D,30,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,"F,NL,",
0648149GSK,Lakeesha,Garneau,female,50,1971-10-28,10,bachelor,EU,E,10,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,"EN,F,SP,NL,IT,",
5320520ZVS,Amy,Jock,female,42,1979-04-29,3,technical,Czech Republic,A,90,NO,YES,YES,NO,NO,YES,YES,NO,NO,YES,"SP,NL,IT,",
1057245QQE,Bobbie,Daniels,female,26,1995-11-07,0,master,EU,E,10,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,"EN,SP,NL,IT,",
7882388BVW,Carrie,Hall,female,27,1993-12-20,1,bachelor,EU,D,30,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,"EN,F,GE,IT,",
3553468DTU,Pamela,Kissel,female,53,1968-07-28,26,master,Brazil,A,90,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,"F,",
8363616GTN,Earle,Dillon,male,63,1958-11-04,3,master,EU,C,50,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,"EN,F,GE,IT,",
0290372DJC,Mozell,Blackburn,female,52,1969-03-03,5,bachelor,EU,E,10,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,"EN,SP,NL,GE,",
6946893UDP,Michael,Grande,male,64,1957-09-16,30,technical,EU,C,50,NO,NO,NO,NO,YES,YES,YES,NO,YES,NO,"F,SP,",
5360979EUQ,Jaime,Herring,male,18,2003-01-02,0,technical,EU,A,90,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,"EN,SP,NL,IT,",
7192204ZQF,Clayton,Crane,male,50,1971-04-12,3,upper secondary,EU,B,70,NO,NO,NO,YES,YES,YES,NO,YES,NO,NO,"EN,F,SP,IT,",
6351626CLK,Richard,Hill,male,64,1957-08-02,9,upper secondary,EU,A,90,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,"EN,F,SP,NL,IT,",
6913890LYS,Nina,Manning,female,43,1978-07-06,6,doctorate,EU,B,70,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,"EN,F,SP,IT,",finance
6148979GSU,Reva,Horstman,female,42,1979-01-07,2,upper secondary,EU,E,13,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,"F,NL,GE,IT,",
3271402MBO,Betty,Miller,female,19,2002-02-28,0,bachelor,EU,D,30,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,"EN,F,GE,IT,",
7716879WGK,Sterling,Fahey,male,34,1987-05-27,8,doctorate,USA,D,30,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,"SP,GE,IT,",
5643315MLI,Andrea,Hargrove,female,47,1974-03-29,21,doctorate,Czech Republic,B,70,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,"EN,SP,",
6306805GTY,Amy,Lopez,female,58,1963-10-30,8,bachelor,USA,C,50,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,"F,SP,",
5455196NAW,Mary,Hargraves,female,45,1976-05-14,11,master,Czech Republic,B,70,YES,YES,NO,YES,NO,YES,NO,YES,NO,YES,"F,",
5386532NXE,Alfredo,Wools,male,40,1981-06-14,11,bachelor,EU,A,90,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,"F,SP,",
0395375ZOO,William,Payne,male,23,1998-08-11,0,doctorate,EU,C,54,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,"F,SP,NL,",
4673877NRN,Clara,Bunch,female,35,1986-05-04,9,upper secondary,EU,B,79,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,"SP,NL,GE,IT,",
0099225LYA,Steve,Quarles,male,51,1970-12-07,2,doctorate,EU,E,10,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,"SP,GE,IT,",
0136517HXL,Matthew,Flowers,male,29,1992-01-03,3,doctorate,EU,E,3,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,"EN,SP,NL,IT,",
1192107VQL,Angelia,Couzens,female,31,1990-01-18,5,master,EU,C,50,NO,YES,YES,NO,YES,NO,NO,NO,YES,YES,"EN,NL,",
3428973EFH,Chris,Scott,male,46,1975-03-01,11,technical,EU,D,36,NO,YES,YES,YES,YES,YES,YES,YES,NO,YES,"NL,IT,",
1473267JRC,Dawn,Demarino,female,59,1962-07-13,13,doctorate,EU,C,50,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,"NL,",
7684541HUZ,Sarah,Rigby,female,56,1965-03-25,7,technical,EU,C,50,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,"EN,SP,GE,IT,",
3060724AGC,Daniel,Bond,male,40,1981-12-03,14,bachelor,Republic of Congo,E,3,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,"F,GE,",
2361866FPY,Kenneth,Mailman,male,32,1989-08-23,6,upper secondary,EU,B,70,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,"EN,F,SP,NL,IT,",
4619835GNN,Kevin,Williams,male,40,1981-02-25,9,master,EU,D,26,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,"GE,IT,",
4746406JJY,Barbara,Hooten,female,65,1956-06-14,11,master,EU,D,32,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,"NL,GE,IT,",
4166977EUO,Gordon,Gonzales,male,41,1980-09-20,15,upper secondary,EU,D,23,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,"SP,",
8799659MXY,Timothy,Sexton,male,53,1968-11-18,4,bachelor,EU,D,30,YES,YES,NO,YES,NO,YES,NO,NO,YES,YES,"EN,",
6659713QHD,Donald,Womack,male,51,1970-10-14,21,master,Republic of Congo,A,98,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,"SP,",
6779492MFB,Nicole,Aponte,female,36,1985-01-05,10,bachelor,EU,D,30,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,"EN,F,SP,NL,GE,",
0685615UDF,Rayford,Shirley,male,54,1967-01-19,19,master,Brazil,A,90,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,"EN,SP,",
9547160BFB,Fabiola,Tardiff,female,33,1988-11-15,7,doctorate,EU,B,70,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,"F,SP,NL,GE,IT,",finance
5739411MOZ,Lee,Merriweather,male,66,1955-11-25,29,master,China,B,70,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,"F,IT,",
1224319KQH,Denise,Criddle,female,44,1976-12-12,18,technical,EU,C,54,NO,NO,YES,NO,YES,NO,YES,NO,YES,YES,"EN,SP,NL,GE,",
9262025LKC,Benjamin,Tierney,male,54,1967-10-04,12,technical,EU,D,34,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,"IT,",
5108052HMJ,Robert,Rincon,male,48,1973-11-10,21,master,EU,C,50,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,"F,SP,IT,",
8493446VUJ,Jerome,Logan,male,31,1990-10-01,5,doctorate,Brazil,A,87,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,"EN,F,",
6636860MQF,Travis,Schlottmann,male,21,2000-06-22,0,technical,EU,C,50,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,"EN,NL,GE,",
2925549QSH,Dorothy,Atwood,female,51,1970-09-27,25,doctorate,EU,E,10,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,"EN,F,SP,NL,GE,",
9964984CDZ,Mildred,Gazzo,female,40,1981-05-24,2,doctorate,EU,A,95,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,"SP,NL,GE,IT,",
0241934DSU,John,Anderson,male,61,1960-06-16,12,master,EU,B,70,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,"EN,SP,GE,IT,",
9215754KDE,Eugene,Mondier,male,38,1983-03-25,4,bachelor,EU,B,80,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,"EN,F,SP,",
5590405PAD,Michael,Strayhorn,male,31,1990-10-23,5,master,China,B,70,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,"EN,SP,",
0210682QCI,Martha,Johnson,female,26,1995-10-09,0,technical,EU,C,50,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,"F,",
1421188ZRA,John,Eicher,male,26,1995-09-06,0,doctorate,Republic of Cyprus,B,71,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,"EN,GE,",
8950037HDB,Joseph,Calvello,male,46,1975-09-03,20,doctorate,EU,C,50,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,"EN,F,",
8586295TSB,Lillian,Avila,female,35,1986-06-29,9,upper secondary,EU,D,21,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,"EN,F,IT,",
3737197AEI,Edward,Proctor,male,33,1988-10-26,7,upper secondary,Brazil,A,97,NO,NO,YES,NO,NO,YES,NO,NO,YES,YES,"NL,",
0689859DAF,Armando,Rizzo,male,33,1988-06-18,7,bachelor,EU,B,77,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,"SP,GE,IT,",
6149823FTT,Brett,Bass,male,25,1996-04-28,0,technical,Republic of South Africa,E,3,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,"GE,IT,",
7303898MXG,Martha,Romney,female,63,1958-02-05,31,master,EU,A,82,YES,NO,NO,YES,NO,YES,YES,YES,NO,YES,"EN,F,IT,",
1573731QIO,Osvaldo,Nieves,male,19,2002-01-01,0,upper secondary,EU,A,90,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,"EN,SP,NL,IT,",
9705084RDJ,Willy,Starnes,male,31,1990-06-29,5,upper secondary,Republic of South Africa,A,98,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,"EN,GE,",
5588724ADF,Aubrey,Jones,male,44,1977-06-27,0,upper secondary,EU,C,57,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,"F,SP,NL,",
5428067GEN,Susanne,Deyoung,female,67,1954-05-05,31,upper secondary,EU,C,50,NO,NO,YES,NO,YES,YES,YES,NO,NO,NO,"EN,SP,GE,IT,",
1018414UUH,Roy,Lundy,male,49,1972-10-20,19,upper secondary,EU,B,70,NO,YES,NO,YES,YES,YES,YES,NO,NO,NO,"F,NL,",
9131438EQT,James,Tennant,male,25,1996-04-15,0,master,EU,B,70,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,"SP,NL,IT,",
7574258ICM,Roberta,Bryant,female,30,1991-02-24,4,doctorate,Republic of Cyprus,D,39,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,"SP,",
2444272NKK,Harry,Debois,male,22,1999-06-23,0,upper secondary,China,B,61,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,"F,NL,GE,IT,",
9480246DVG,Emily,Castillo,female,41,1980-05-23,15,upper secondary,EU,C,56,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,"F,SP,NL,IT,",
9614187XDX,Howard,Bryant,male,35,1986-07-30,9,master,EU,D,30,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,"F,SP,NL,",
3462902UBX,Roger,Stanley,male,40,1981-06-06,14,technical,EU,B,70,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,"SP,",
5013602MJU,Brian,Tester,male,60,1960-11-12,33,upper secondary,EU,C,54,YES,NO,NO,YES,NO,NO,NO,YES,YES,NO,"SP,NL,",
5745357DOL,Trevor,Lipsey,male,26,1995-07-19,0,master,EU,A,90,NO,YES,NO,YES,NO,YES,NO,YES,YES,YES,"EN,SP,NL,GE,",
3256499WSN,Nicole,Barrios,female,29,1992-10-30,3,technical,EU,C,57,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,"EN,SP,NL,",
5738729SRH,Willie,Havens,male,27,1994-01-04,1,doctorate,EU,E,3,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,"NL,GE,",
3550458KIR,Brent,Flores,male,55,1966-06-21,13,doctorate,EU,C,50,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,"SP,GE,",
2124797RIS,Benton,Gonzales,male,53,1968-11-05,21,doctorate,EU,C,50,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,"EN,F,IT,",
8274922PFU,Felix,Anderson,male,59,1962-03-07,1,bachelor,China,B,70,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,"F,SP,GE,IT,",
5696290NPV,Richard,Bakken,male,51,1970-11-20,0,upper secondary,EU,,0,NO,YES,NO,YES,NO,YES,YES,NO,YES,YES,"F,SP,NL,IT,",
1034829CSP,Adell,Mercier,female,49,1972-06-25,5,bachelor,EU,B,63,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO,"F,SP,GE,",
0259855KBO,Anthony,Rivera,male,46,1975-01-27,2,bachelor,USA,D,25,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,"EN,F,",
